"Date","Years","Months","Lake","Specie","Value"
"7/8/2013",2013,7,"GBS","Temp","14.63"
"8/5/2013",2013,8,"GBS","Temp","16.38"
"9/2/2013",2013,9,"GBS","Temp","13.7"
"10/28/2013",2013,10,"GBS","Temp","11.49"
"11/25/2013",2013,11,"GBS","Temp","8.48"
"12/11/2013",2013,12,"GBS","Temp","6.05"
"NaN",2014,1,"GBS","Temp","NaN"
"NaN",2014,2,"GBS","Temp","NaN"
"3/31/2014",2014,3,"GBS","Temp","NaN"
"4/28/2014",2014,4,"GBS","Temp","8.58"
"5/26/2014",2014,5,"GBS","Temp","12.68"
"6/23/2014",2014,6,"GBS","Temp","13.98"
"7/21/2014",2014,7,"GBS","Temp","15.95"
"8/18/2014",2014,8,"GBS","Temp","15.36"
"9/15/2014",2014,9,"GBS","Temp","14.96"
"10/13/2014",2014,10,"GBS","Temp","14.35"
"11/10/2014",2014,11,"GBS","Temp","11.88"
"12/8/2014",2014,12,"GBS","Temp","7.87"
"NaN",2015,1,"GBS","Temp","NaN"
"NaN",2015,2,"GBS","Temp","NaN"
"NaN",2015,3,"GBS","Temp","NaN"
"NaN",2015,4,"GBS","Temp","NaN"
"5/20/2015",2015,5,"GBS","Temp","11.16"
"6/17/2015",2015,6,"GBS","Temp","12.93"
"7/15/2015",2015,7,"GBS","Temp","14.73"
"8/12/2015",2015,8,"GBS","Temp","16.91"
"9/2/2015",2015,9,"GBS","Temp","15.77"
"10/7/2015",2015,10,"GBS","Temp","12.87"
"11/4/2015",2015,11,"GBS","Temp","10.31"
"12/2/2015",2015,12,"GBS","Temp","8.12"
"NaN",2016,1,"GBS","Temp","NaN"
"NaN",2016,2,"GBS","Temp","NaN"
"NaN",2016,3,"GBS","Temp","NaN"
"4/1/2016",2016,4,"GBS","Temp","4.48"
"5/9/2016",2016,5,"GBS","Temp","11.11"
"6/22/2016",2016,6,"GBS","Temp","14.26"
"7/13/2016",2016,7,"GBS","Temp","16.11"
"8/10/2016",2016,8,"GBS","Temp","16.11"
"9/7/2016",2016,9,"GBS","Temp","15.75"
"10/19/2016",2016,10,"GBS","Temp","12.11"
"11/9/2016",2016,11,"GBS","Temp","9.68"
"NaN",2016,12,"GBS","Temp","NaN"
"NaN",2017,1,"GBS","Temp","NaN"
"NaN",2017,2,"GBS","Temp","NaN"
"3/22/2017",2017,3,"GBS","Temp","5.46"
"4/26/2017",2017,4,"GBS","Temp","8.68"
"5/30/2017",2017,5,"GBS","Temp","14.41"
"6/28/2017",2017,6,"GBS","Temp","16.25"
"7/30/2017",2017,7,"GBS","Temp","16.43"
"8/23/2017",2017,8,"GBS","Temp","16.64"
"9/20/2017",2017,9,"GBS","Temp","14.73"
"10/18/2017",2017,10,"GBS","Temp","13.55"
"11/14/2017",2017,11,"GBS","Temp","10.14"
"12/6/2017",2017,12,"GBS","Temp","6.66"
"NaN",2018,1,"GBS","Temp","NaN"
"NaN",2018,2,"GBS","Temp","NaN"
"NaN",2018,3,"GBS","Temp","NaN"
"4/25/2018",2018,4,"GBS","Temp","9.45"
"5/22/2018",2018,5,"GBS","Temp","12.3"
"6/19/2018",2018,6,"GBS","Temp","15.17"
"7/30/2018",2018,7,"GBS","Temp","16.33"
"8/22/2018",2018,8,"GBS","Temp","15.31"
"9/19/2018",2018,9,"GBS","Temp","16.46"
"10/10/2018",2018,10,"GBS","Temp","12.96"
"11/28/2018",2018,11,"GBS","Temp","8.5"
"NaN",2018,12,"GBS","Temp","NaN"
"NaN",2019,1,"GBS","Temp","NaN"
"NaN",2019,2,"GBS","Temp","NaN"
"3/27/2019",2019,3,"GBS","Temp","5.54"
